Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-02-13,1045.0,1058.37,1044.09,1052.1,1209341.0,0.0,1.0,1045.0,1058.37,1044.09,1052.1,1209341.0
2018-02-12,1048.0,1061.5,1040.93,1051.94,2038875.0,0.0,1.0,1048.0,1061.5,1040.93,1051.94,2038875.0
2018-02-09,1017.25,1043.97,992.56,1035.88,3267883.0,0.0,1.0,1017.25,1043.97,992.56,1035.88,3267883.0
2018-02-08,1055.41,1058.62,1001.0,1001.0,2720942.0,0.0,1.0,1055.41,1058.62,1001.0,1001.0,2720942.0
2018-02-07,1081.54,1081.78,1048.26,1048.58,2331374.0,0.0,1.0,1081.54,1081.78,1048.26,1048.58,2331374.0
2018-02-06,1027.18,1081.71,1023.14,1080.6,3360727.0,0.0,1.0,1027.18,1081.71,1023.14,1080.6,3360727.0
2018-02-05,1090.6,1110.0,1052.03,1064.35,3336352.0,0.0,1.0,1090.6,1110.0,1052.03,1064.35,3336352.0
2018-02-02,1122.0,1123.07,1107.28,1111.9,4758496.0,0.0,1.0,1122.0,1123.07,1107.28,1111.9,4758496.0
2018-02-01,1162.61,1174.0,1157.52,1167.7,1974700.0,0.0,1.0,1162.61,1174.0,1157.52,1167.7,1974700.0
2018-01-31,1170.57,1173.0,1159.13,1169.94,1486793.0,0.0,1.0,1170.57,1173.0,1159.13,1169.94,1486793.0
2018-01-30,1167.83,1176.52,1163.52,1163.69,1400132.0,0.0,1.0,1167.83,1176.52,1163.52,1163.69,1400132.0
2018-01-29,1176.48,1186.89,1171.98,1175.58,1299218.0,0.0,1.0,1176.48,1186.89,1171.98,1175.58,1299218.0
2018-01-26,1175.08,1175.84,1158.11,1175.84,1825680.0,0.0,1.0,1175.08,1175.84,1158.11,1175.84,1825680.0
2018-01-25,1172.53,1175.94,1162.76,1170.37,1326436.0,0.0,1.0,1172.53,1175.94,1162.76,1170.37,1326436.0
2018-01-24,1177.33,1179.86,1161.05,1164.24,1351237.0,0.0,1.0,1177.33,1179.86,1161.05,1164.24,1351237.0
2018-01-23,1159.85,1171.63,1158.75,1169.97,1199326.0,0.0,1.0,1159.85,1171.63,1158.75,1169.97,1199326.0
2018-01-22,1137.49,1159.88,1135.11,1155.81,1582504.0,0.0,1.0,1137.49,1159.88,1135.11,1155.81,1582504.0
2018-01-19,1131.83,1137.86,1128.3,1137.51,1361390.0,0.0,1.0,1131.83,1137.86,1128.3,1137.51,1361390.0
2018-01-18,1131.41,1132.51,1117.5,1129.79,1148920.0,0.0,1.0,1131.41,1132.51,1117.5,1129.79,1148920.0
2018-01-17,1126.22,1132.6,1117.01,1131.98,1146089.0,0.0,1.0,1126.22,1132.6,1117.01,1131.98,1146089.0
2018-01-16,1132.51,1139.91,1117.83,1121.76,1539230.0,0.0,1.0,1132.51,1139.91,1117.83,1121.76,1539230.0
2018-01-12,1102.41,1124.29,1101.15,1122.26,1701377.0,0.0,1.0,1102.41,1124.29,1101.15,1122.26,1701377.0
2018-01-11,1106.3,1106.53,1099.59,1105.52,962696.0,0.0,1.0,1106.3,1106.53,1099.59,1105.52,962696.0
2018-01-10,1097.1,1104.6,1096.11,1102.61,1038917.0,0.0,1.0,1097.1,1104.6,1096.11,1102.61,1038917.0
2018-01-09,1109.4,1110.57,1101.23,1106.26,897400.0,0.0,1.0,1109.4,1110.57,1101.23,1106.26,897400.0
2018-01-08,1102.23,1111.27,1101.62,1106.94,1003098.0,0.0,1.0,1102.23,1111.27,1101.62,1106.94,1003098.0
2018-01-05,1094.0,1104.25,1092.0,1102.23,1210974.0,0.0,1.0,1094.0,1104.25,1092.0,1102.23,1210974.0
